,count
1370,53026
259,52998
232,52880
1005,52724
304,52715
2255,52586
3614,52577
853,52487
39,52476
119,52355
888,52092
693,52005
134,51957
3979,51832
149,51817
411,51800
1454,51683
2913,51673
1026,51536
220,51389
576,51362
1665,51357
1648,51329
468,51266
2900,51235
1071,51233
1145,51077
2577,50970
844,50792
200,50654
809,50454
4083,50437
1571,50324
1493,50283
167,50277
3528,50227
1074,50145
1094,50141
1040,50102
448,50074
2315,50018
1433,49981
927,49948
301,49662
2655,49646
854,49626
1935,49594
274,49335
733,49221
886,49187
5394,49151
2076,49102
1271,49086
1798,48940
312,48852
578,48764
895,48698
1212,48632
3891,48619
3172,48408
1133,48286
582,48128
1186,48019
1907,47842
465,47681
3229,47368
369,47251
722,47217
3165,47180
2049,47079
1259,46956
2586,46938
4676,46896
391,46850
1869,46841
103,46743
563,46545
1020,46408
2460,46313
868,46197
509,46143
424,46061
7092,45928
519,45926
1200,45892
1052,45865
1628,45761
565,45733
900,45690
1097,45590
186,45580
1179,45546
3180,45502
322,45324
123,45163
392,45087
724,45032
4030,44921
749,44586
697,44545
13169,44385
4854,44356
2120,44297
1238,44278
934,44248
1840,44071
3776,43869
1555,43720
1503,43720
1240,43545
1755,43479
628,43409
1237,43385
4439,43289
376,43289
1254,43246
428,43132
8696,43051
1658,42845
1387,42806
470,42701
1510,42619
329,42500
1231,42493
215,42452
160,42442
1704,42421
866,42396
1153,42091
867,42077
155,41980
325,41976
176,41969
2257,41925
642,41796
319,41786
2320,41769
2436,41752
1257,41661
1402,41620
1125,41538
1012,41526
955,41502
471,41355
1400,41339
1638,41175
1032,41074
3419,40988
1554,40923
3214,40909
84,40830
1403,40730
2597,40643
111,40590
320,40588
750,40506
1050,40283
2526,40273
1239,40236
884,40110
506,40090
190,39989
2579,39962
1649,39894
908,39862
1357,39731
594,39717
1564,39575
560,39540
1660,39539
623,39538
1077,39525
83,39521
3114,39504
804,39501
10217,39160
1779,39152
1048,39079
533,38924
736,38863
1451,38811
3051,38773
1623,38749
918,38739
4799,38603
782,38564
1453,38485
2334,38389
1038,38351
2740,38310
3084,38236
2069,38184
2277,38160
928,38134
380,38119
616,38051
1262,38037
922,38034
1268,37979
10764,37966
101,37931
1118,37907
564,37890
1090,37885
5157,37869
2019,37846
938,37777
988,37665
1290,37558
1669,37507
527,37420
702,37407
2799,37383
1086,37375
943,37366
500,37360
2057,37299
640,37291
793,37262
1046,37240
1932,37165
1666,37115
1566,36968
1082,36686
1524,36628
1078,36626
872,36611
4478,36586
331,36482
728,36451
1626,36451
967,36358
1039,36212
2035,36084
2553,36066
2097,36061
1495,36049
3206,36034
3420,35951
1307,35817
646,35810
696,35652
4428,35628
624,35590
1008,35555
1577,35516
4509,35500
2470,35350
3366,35344
472,35328
2000,35320
3995,35311
9815,35245
1379,35238
3087,35220
1280,35206
659,35100
2627,34936
3190,34879
910,34791
2112,34771
748,34724
418,34723
361,34606
3447,34584
476,34542
1877,34412
1147,34385
2488,34308
1188,34184
1191,34156
831,34127
916,34068
573,34042
350,33923
2983,33875
263,33812
1997,33447
4124,33375
1848,33314
2096,33255
1514,33178
557,33168
439,33120
1508,33113
3147,33058
435,33015
4205,32995
919,32938
566,32797
3719,32775
447,32719
2271,32676
892,32604
393,32596
1099,32594
1447,32548
275,32527
3316,32495
3044,32409
1346,32333
836,32333
721,32162
2171,32125
1223,32084
3325,32052
2578,32019
2963,31996
484,31917
3213,31882
674,31861
432,31859
902,31787
3922,31716
2926,31614
3787,31554
1165,31539
1758,31450
1405,31419
2139,31386
429,31333
1049,31308
1588,31256
636,31242
264,31241
1190,31229
229,31221
2063,31213
542,31185
433,31178
1321,31134
2448,31131
2395,31122
6509,31088
1537,31074
1767,31069
1663,30957
649,30937
752,30926
6118,30899
1322,30888
627,30855
1255,30814
1174,30787
768,30778
1780,30691
4163,30665
4578,30643
3864,30639
4528,30573
2020,30572
1209,30519
1057,30515
970,30491
1169,30484
2309,30436
362,30388
244,30364
522,30344
792,30239
2434,30212
2251,30185
2013,30059
3404,30043
4923,30028
1252,29986
2107,29939
2385,29886
913,29879
5835,29786
1812,29741
1448,29723
28525,29629
3568,29576
1311,29564
1341,29540
1608,29498
1682,29483
885,29439
2733,29437
2482,29413
920,29411
2935,29348
2889,29328
1204,29302
2606,29257
876,29170
835,29104
794,29096
222,29076
1872,29055
137,29038
1396,29027
3473,29020
1762,29003
790,28963
1955,28944
2413,28889
302,28812
709,28770
681,28728
1059,28709
4177,28615
2763,28591
2537,28583
1790,28555
2660,28508
1920,28505
2961,28477
698,28450
177,28447
1835,28421
618,28349
861,28320
11688,28259
400,28228
737,28195
1015,28179
896,28164
716,28137
579,28105
9176,28054
3192,28024
1431,28010
4719,28007
1876,27966
1954,27945
1043,27843
6849,27807
2657,27805
1874,27727
1486,27668
4474,27598
2146,27578
1548,27496
5707,27462
7371,27449
419,27423
13521,27410
1549,27396
1275,27367
1110,27274
7651,27221
4795,27170
1135,27121
2085,27054
2060,27039
17269,27024
2142,27022
959,26989
1494,26973
2305,26959
1088,26951
1778,26919
2180,26916
2595,26901
417,26894
1210,26862
962,26856
1586,26840
757,26825
656,26793
968,26782
1976,26777
996,26750
580,26721
2689,26704
823,26696
577,26667
1428,26640
940,26627
1713,26578
1689,26538
3399,26503
1705,26433
16097,26425
1993,26423
904,26421
3625,26417
1041,26373
1117,26342
1477,26316
1361,26300
3364,26267
677,26117
1266,26060
3204,26011
703,25959
994,25884
899,25824
1856,25790
828,25788
3648,25765
1740,25713
2322,25704
1095,25645
2029,25583
1024,25494
2554,25457
2080,25449
1930,25438
1080,25430
1285,25391
2104,25352
1337,25335
1375,25325
13121,25315
2231,25309
3371,25258
1025,25246
762,25190
4179,25163
937,25152
3812,25145
2086,25130
1382,25127
521,25125
1500,25092
1221,25070
2220,25020
4315,25001
2429,24941
2323,24915
3024,24857
5465,24840
2024,24812
13170,24812
1395,24810
975,24809
2365,24773
832,24687
3498,24610
798,24574
3825,24533
93,24522
242,24522
1998,24506
2419,24503
957,24480
1385,24440
2430,24417
1476,24416
2770,24411
1757,24408
7239,24375
4602,24309
3274,24261
3707,24258
445,24251
1676,24172
2160,24171
482,24119
766,24100
5287,24067
1543,24064
1010,24062
3170,24002
3726,23983
1193,23983
316,23962
1678,23916
2943,23915
9375,23879
833,23864
1850,23848
4407,23786
1317,23745
343,23723
2303,23723
5860,23707
37119,23695
1306,23677
2291,23664
761,23659
1763,23619
2566,23589
529,23545
1232,23500
4473,23495
603,23382
3160,23381
1706,23361
2237,23338
4905,23326
2776,23311
553,23260
1230,23232
977,23214
2509,23206
1887,23194
2894,23154
2327,23153
1105,23151
1344,23147
480,23117
5504,23106
1267,23090
3049,23070
1530,23069
266,23056
2905,22995
1432,22944
2489,22943
8112,22895
2668,22872
323,22838
5666,22831
1928,22828
1992,22815
1772,22800
43944,22787
2647,22786
1679,22730
474,22724
1604,22696
3564,22694
175,22681
1269,22669
973,22636
1085,22615
1592,22613
2755,22574
1657,22570
1002,22553
460,22524
2706,22440
2172,22425
1207,22421
1100,22420
1707,22390
2163,22373
1030,22362
3421,22351
1475,22340
1621,22332
3673,22205
2593,22200
6715,22200
1013,22199
4668,22135
1446,22106
147,22089
3054,22079
2064,22066
1516,22048
1834,22036
3337,22023
714,22000
1063,22000
399,21967
2735,21956
7215,21909
2442,21866
2145,21820
738,21769
1033,21744
3783,21740
1853,21725
1367,21702
1450,21698
740,21692
4518,21686
2355,21596
2812,21590
1831,21578
2996,21556
2732,21517
4543,21504
3485,21467
1424,21447
601,21369
1846,21365
4620,21330
801,21310
554,21265
1295,21256
1138,21253
2325,21203
1392,21195
1635,21155
1467,21133
1303,21096
481,21092
2331,21086
4889,21084
1771,21035
789,21031
3998,21013
1653,21004
3960,20993
2391,20978
26595,20976
3219,20930
961,20928
7522,20877
2040,20871
1618,20841
3525,20832
4651,20807
1684,20784
3015,20770
1388,20730
1184,20728
520,20708
5657,20662
4587,20642
23,20586
2969,20570
1365,20535
963,20516
860,20496
1600,20491
1366,20491
1708,20432
1445,20379
5958,20376
2882,20374
561,20337
3585,20307
516,20289
824,20263
2697,20253
1473,20234
979,20223
645,20220
1199,20213
923,20204
1220,20198
14622,20192
1326,20184
2450,20171
4011,20149
14685,20134
2267,20129
2047,20127
2662,20123
776,20121
1281,20120
1278,20105
9238,20096
1421,20060
2394,20019
3247,20007
4487,20001
1673,19997
6937,19964
5868,19956
1501,19952
964,19943
1512,19901
2981,19891
3748,19890
3002,19879
2902,19879
1101,19878
3167,19874
2003,19869
1680,19861
1785,19850
882,19812
1007,19779
1334,19772
4174,19763
1236,19738
2466,19732
611,19707
1328,19690
11584,19679
1422,19665
2575,19630
980,19617
593,19607
1991,19587
5553,19569
1774,19563
3441,19543
992,19501
1805,19492
513,19490
2742,19473
1068,19451
3290,19445
370,19425
19194,19422
25386,19402
38365,19402
995,19380
2837,19360
12146,19351
4541,19348
2713,19327
4379,19318
777,19301
1541,19280
2565,19275
993,19236
1109,19218
3401,19158
1943,19138
7937,19126
692,19115
2435,19108
1540,19107
2764,19103
1114,19096
451,19060
2610,19046
1482,19039
2034,19037
1149,19037
2906,18995
2686,18890
161,18843
5007,18815
1464,18806
3533,18786
1011,18777
4361,18775
1662,18772
638,18767
778,18730
2500,18723
1492,18717
4608,18697
1,18691
338,18680
7329,18652
113,18619
1697,18602
2439,18601
1241,18594
85,18582
1215,18580
837,18578
1104,18561
1703,18537
1076,18527
2991,18501
401,18481
3348,18460
1796,18455
2771,18422
610,18363
1219,18363
898,18357
34,18353
6102,18318
1465,18293
1225,18292
2021,18279
490,18270
1606,18269
2048,18265
2004,18262
1143,18203
1948,18170
2716,18161
2534,18152
652,18149
4788,18140
2665,18133
1827,18078
4234,18057
6863,18056
19190,18052
3880,18028
2370,17974
2945,17958
6758,17938
871,17919
1924,17903
639,17880
6546,17850
1650,17831
9379,17826
4702,17820
1308,17808
4547,17770
4078,17745
1820,17733
2651,17719
596,17713
2187,17698
2734,17697
4265,17668
5166,17648
34612,17646
26322,17646
37900,17646
1826,17645
2299,17631
2232,17607
1151,17538
841,17530
1737,17521
2198,17515
717,17507
1284,17490
19330,17471
6635,17468
3270,17454
2054,17418
3629,17401
2317,17389
1518,17370
2598,17363
1499,17354
1892,17317
4758,17290
1879,17260
1425,17255
1208,17251
4344,17241
6158,17219
4169,17210
3696,17189
1474,17180
1140,17146
3843,17121
769,17115
4775,17085
5227,17072
1072,17062
1261,17041
1644,17032
1309,16999
5175,16941
1947,16932
1325,16927
1355,16902
2637,16900
1664,16843
3930,16834
2102,16778
3157,16769
3704,16752
1444,16718
1563,16697
14073,16683
5882,16677
862,16676
2083,16660
1096,16626
3444,16619
2287,16619
1060,16607
1148,16603
2638,16556
767,16531
1804,16516
9533,16515
4716,16483
3027,16477
1319,16467
3196,16459
2536,16443
2250,16433
7516,16431
2911,16428
4082,16401
1047,16397
3953,16388
718,16381
1206,16380
360,16376
375,16376
1092,16349
2540,16336
7014,16335
8578,16314
1299,16305
9489,16292
556,16273
2561,16264
1536,16261
784,16246
4786,16230
826,16229
1176,16229
1860,16211
1489,16204
3281,16203
1579,16177
3126,16171
635,16157
1747,16133
1970,16126
1863,16100
2785,16090
2285,16078
1411,16067
4058,16061
11322,16058
2241,16035
5207,16018
523,16016
1859,16014
933,16007
138,16005
1952,16000
2079,15998
2774,15989
5684,15980
1414,15974
889,15965
1894,15950
1081,15855
1393,15839
2141,15832
3193,15824
1605,15794
421,15769
3456,15729
2396,15726
205,15700
1819,15694
1374,15688
409,15684
6986,15675
1172,15658
8326,15630
358,15620
1786,15590
3827,15583
2756,15578
7175,15567
4122,15535
1806,15502
1822,15497
751,15493
1525,15468
179,15468
5884,15457
1418,15456
1441,15443
2775,15437
608,15436
1750,15425
2744,15423
2772,15404
1289,15398
1854,15368
3914,15338
3269,15323
2051,15312
1692,15310
2797,15303
956,15269
1061,15234
547,15230
2524,15218
2787,15216
2117,15215
2073,15210
2119,15173
614,15160
3426,15159
815,15147
8823,15128
1270,15121
592,15117
1685,15099
2177,15088
1356,15088
1946,15083
1051,15078
3129,15071
4531,15062
9847,15061
11025,15050
2130,15048
515,15039
1378,15030
2795,15030
3225,15009
1532,15006
37883,15002
1906,14985
285,14984
5235,14955
1129,14954
2125,14931
1472,14931
52107,14927
2838,14920
1787,14920
12488,14910
1589,14904
2616,14898
4650,14880
193,14879
5680,14873
1058,14861
2849,14857
1686,14853
2124,14847
671,14843
4133,14838
1824,14826
3802,14800
7792,14784
803,14780
3815,14765
5779,14759
662,14753
6100,14739
2704,14725
2265,14712
2032,14698
710,14669
3757,14658
2212,14649
5273,14643
4845,14640
966,14634
3438,14615
1668,14610
14769,14609
5151,14607
20932,14592
1888,14583
4785,14576
2532,14569
3166,14553
2324,14527
1369,14525
3555,14513
997,14506
6478,14496
1837,14480
7409,14476
3092,14471
2443,14454
15406,14447
6868,14442
924,14403
2140,14399
2437,14394
2464,14392
2475,14392
1305,14391
1460,14390
1021,14383
5466,14367
1603,14341
5906,14338
2562,14337
1037,14315
3001,14310
3806,14307
588,14300
4081,14294
77,14264
4154,14248
114,14248
1298,14244
2425,14237
1093,14236
168,14232
16515,14228
348,14216
1456,14207
1972,14191
4557,14164
4901,14138
13173,14129
3436,14129
1484,14127
1890,14121
2343,14091
1330,14078
3358,14072
2377,14070
3984,14065
3367,14065
3529,14056
1265,14055
3144,14043
2045,14043
3925,14034
3962,14020
6711,14016
1963,14000
2358,13983
2268,13961
684,13940
641,13922
2656,13915
3276,13908
3130,13905
4149,13890
944,13888
2346,13878
1983,13856
2463,13849
4529,13842
2523,13815
1102,13808
9209,13801
2384,13794
2703,13784
1559,13754
3119,13751
4337,13749
2629,13724
2910,13669
2987,13666
3906,13660
3365,13659
622,13659
1490,13642
4300,13641
5724,13638
2950,13615
2210,13593
6414,13592
198,13584
4226,13575
1915,13572
1553,13562
5457,13550
2515,13546
4744,13542
1245,13540
7108,13539
1726,13536
1358,13526
1938,13521
850,13483
1884,13478
1213,13452
1538,13450
4003,13449
3020,13426
1348,13419
4910,13415
1399,13402
2640,13401
1197,13387
5049,13385
2839,13380
452,13367
1256,13358
1905,13355
7640,13354
3493,13350
1062,13346
5205,13343
2242,13341
663,13325
4005,13324
2078,13310
55,13308
7501,13295
2855,13293
4426,13293
9051,13291
1980,13257
6750,13253
2975,13244
1426,13231
3630,13215
2400,13203
7421,13183
3387,13182
3504,13179
725,13175
3687,13162
1249,13133
5800,13121
3338,13108
5259,13105
2405,13091
6240,13087
2497,13076
6617,13069
2529,13044
3702,13025
4249,13020
1429,13011
3199,13008
2496,12997
3982,12993
2601,12981
26738,12963
4980,12961
2382,12937
1478,12937
715,12935
765,12930
756,12924
2507,12920
87,12917
1539,12912
2174,12899
3052,12898
7528,12887
2238,12867
17018,12849
2835,12849
4733,12826
1067,12817
194,12815
246,12812
634,12802
2873,12794
3140,12776
2258,12774
848,12773
1782,12772
3836,12760
2411,12756
2410,12748
2170,12746
5928,12733
3249,12727
1466,12704
3923,12685
3542,12679
745,12672
1953,12645
5334,12635
2876,12609
4636,12579
2127,12561
1800,12561
2089,12560
4025,12554
2420,12547
1959,12546
1108,12534
1560,12528
2739,12522
3301,12519
2202,12500
1581,12500
386,12497
6062,12461
2617,12447
2030,12445
2175,12408
2195,12406
1417,12406
6733,12403
1833,12391
3633,12389
1625,12387
2550,12379
1828,12371
2422,12363
2156,12353
2968,12352
1045,12334
4836,12320
1509,12304
5546,12289
4710,12281
4990,12281
658,12266
357,12259
2618,12252
3277,12251
7417,12250
1340,12248
3195,12245
3712,12243
1986,12242
2446,12242
4280,12241
442,12236
3908,12236
4319,12235
3577,12217
2033,12215
8584,12211
3549,12204
3221,12186
1775,12175
2159,12175
1286,12164
2766,12142
2194,12141
1670,12139
3061,12132
3535,12118
1974,12111
2845,12095
3386,12095
1732,12081
4140,12070
3060,12067
2551,12049
3777,12042
422,12036
4413,12011
2587,12008
3536,12006
1113,11984
454,11981
2960,11951
3823,11945
3064,11928
3266,11926
4065,11922
2510,11916
1380,11913
1250,11901
781,11901
3059,11887
4313,11886
2871,11876
1745,11852
2508,11825
3884,11821
2167,11815
2625,11810
5164,11800
1112,11784
2525,11782
1333,11776
14311,11767
7271,11767
2368,11753
2082,11745
3739,11740
4232,11740
2661,11736
5308,11732
1416,11729
8937,11723
3297,11718
5099,11706
7243,11700
2886,11699
9,11687
1394,11674
6403,11669
2310,11654
2218,11653
1714,11650
1452,11635
5710,11613
4350,11605
2217,11602
1814,11588
1292,11588
6964,11580
2298,11571
1599,11565
5614,11551
6360,11550
1651,11547
4475,11516
2471,11509
901,11508
2465,11500
5036,11469
2903,11457
8754,11453
2485,11452
10655,11444
2333,11444
4767,11434
5787,11433
3018,11427
3098,11422
5109,11403
3548,11384
2859,11375
4935,11368
4264,11363
2516,11358
2549,11356
4809,11340
1815,11332
13496,11329
8525,11325
5174,11312
3887,11291
1844,11271
1189,11271
10631,11265
2719,11264
19703,11256
4823,11235
1178,11230
2805,11220
1565,11198
405,11197
7064,11190
3315,11185
3033,11183
3030,11183
9753,11172
3595,11154
4936,11148
2965,11139
5048,11132
2768,11130
1645,11126
3515,11093
504,11085
2757,11081
2933,11081
2986,11060
4031,11057
1203,11050
1320,11047
6413,11047
960,11043
6122,11043
530,11028
1171,11022
8297,11018
1756,11016
839,11006
1304,11006
2256,10988
1866,10984
5556,10984
6980,10975
2081,10941
2122,10938
1142,10923
3890,10914
903,10911
3506,10896
7334,10888
1911,10861
1717,10861
3411,10860
4589,10856
4818,10851
4283,10851
2590,10832
3336,10832
1234,10830
2353,10828
694,10824
1950,10810
7392,10806
15674,10801
6365,10800
377,10787
1945,10781
4284,10777
1807,10772
10906,10765
427,10762
4441,10760
17430,10756
1157,10741
3911,10739
2765,10714
2129,10711
3808,10711
7571,10705
2191,10700
3117,10695
3317,10694
2111,10690
1246,10685
1233,10682
1028,10677
1792,10660
1377,10629
2118,10623
3324,10622
1849,10616
2432,10603
3725,10599
3989,10592
2300,10586
1127,10584
36254,10579
2012,10563
2533,10563
4998,10556
6796,10548
8577,10546
3907,10541
2731,10526
5479,10496
1728,10492
2094,10490
514,10485
1331,10469
5009,10466
1667,10459
3895,10458
8281,10455
1195,10455
5817,10445
1315,10425
2390,10425
3302,10423
4855,10422
3234,10418
3197,10412
2207,10411
4586,10407
6225,10399
21771,10397
3869,10394
1567,10386
654,10376
805,10375
1842,10373
2363,10371
2028,10341
3143,10341
1870,10339
2663,10338
2931,10330
2781,10328
1759,10287
1469,10276
2521,10267
2398,10253
1793,10252
2075,10229
6925,10228
4743,10215
2022,10208
5038,10207
4318,10201
799,10185
61001,10182
2632,10175
2009,10169
2934,10165
5230,10142
2018,10133
4238,10132
30735,10130
2811,10126
1716,10126
4863,10111
5565,10099
2538,10097
1949,10096
4605,10087
2989,10068
4209,10065
5746,10065
819,10044
1116,10044
4934,10037
5654,10036
7938,10024
4212,10018
8377,10015
5912,10015
1764,10003
845,9999
1528,9991
3584,9982
1687,9974
2065,9958
4217,9947
3251,9943
3113,9937
3252,9935
4055,9933
3992,9927
1731,9920
2493,9919
2095,9912
3691,9908
2941,9907
2288,9904
10550,9891
2623,9882
6931,9880
3422,9878
653,9876
3479,9865
2414,9852
2710,9840
760,9839
949,9833
5159,9827
1982,9813
8098,9811
1832,9800
821,9798
1318,9797
3475,9794
7510,9794
1929,9790
8643,9774
6611,9768
3017,9768
1862,9765
2848,9764
3090,9750
4750,9748
2592,9747
1119,9740
2015,9739
2459,9738
3235,9731
1029,9728
1336,9724
2743,9720
664,9717
1810,9707
1163,9687
5765,9685
2992,9677
5030,9657
4834,9647
7135,9640
2718,9610
2168,9607
6074,9606
3124,9604
1498,9599
14229,9598
5855,9591
9137,9590
4838,9586
1248,9580
4812,9571
3133,9565
921,9560
3700,9559
3293,9557
6551,9555
5136,9554
2608,9543
7655,9536
2114,9530
1619,9524
1923,9520
4530,9511
5692,9508
15279,9505
5190,9482
4236,9481
2959,9475
3681,9465
2794,9464
5484,9455
4725,9451
2219,9449
2828,9447
2563,9446
2491,9444
3078,9443
4325,9439
1968,9439
1656,9429
6885,9422
1350,9419
3721,9418
2737,9399
7134,9394
2149,9391
3943,9388
1864,9384
5223,9377
1989,9370
3888,9366
5131,9356
4213,9355
5887,9351
1397,9335
3552,9330
2741,9325
3330,9319
7772,9316
3972,9316
2738,9312
1372,9301
1519,9301
9578,9283
2188,9272
1141,9257
3322,9249
4359,9243
23413,9238
2349,9238
16071,9235
7404,9235
830,9232
1064,9220
2326,9216
3851,9213
3062,9206
4858,9206
6280,9188
4920,9179
4405,9177
2880,9162
1710,9156
3856,9153
5741,9145
3768,9145
6207,9144
4884,9143
1746,9135
3183,9130
5905,9128
953,9127
1134,9125
1880,9123
2335,9112
3944,9111
3520,9110
3746,9110
3136,9106
8459,9103
1936,9097
2815,9095
2061,9094
3477,9092
2143,9076
8586,9074
6187,9059
8996,9051
3125,9044
2506,9040
3242,9035
720,9031
3025,9026
1927,9021
3683,9009
2614,9009
3524,9009
2879,9009
3772,8998
2700,8998
5153,8988
2784,8987
2547,8962
10223,8953
4498,8953
5668,8942
4705,8941
5473,8938
8781,8937
2182,8936
3289,8932
2922,8929
2677,8928
3913,8927
4633,8920
13275,8914
2728,8903
4953,8896
5874,8892
4511,8891
3896,8887
4461,8880
8987,8879
3182,8879
3866,8859
3811,8848
4422,8847
991,8844
950,8843
4097,8842
7065,8840
4503,8834
35548,8823
33928,8823
54688,8823
44936,8823
2359,8820
3644,8808
2890,8807
2389,8803
1896,8795
10028,8792
12400,8775
1205,8774
1961,8766
4642,8762
9670,8757
2221,8754
3373,8744
5632,8736
2132,8734
2818,8734
3218,8733
4072,8724
5293,8712
6064,8711
6402,8704
3826,8701
5350,8701
4595,8700
2688,8698
8347,8694
2369,8693
2313,8690
7218,8687
1339,8678
2266,8672
894,8669
2499,8668
3070,8667
4618,8660
3626,8639
3138,8637
11399,8637
2702,8634
6898,8631
1376,8626
2976,8624
3223,8623
3273,8622
1449,8608
2888,8594
3476,8572
5867,8564
4471,8563
786,8559
3670,8555
1677,8544
1419,8541
1198,8535
4087,8531
5344,8524
7839,8522
5955,8521
1155,8514
4102,8505
3502,8502
4277,8496
3790,8494
1338,8487
2893,8487
317,8482
8548,8478
4925,8473
8229,8472
4160,8472
1228,8461
2116,8457
3058,8452
2026,8449
6977,8443
5234,8440
2588,8434
9086,8432
10636,8430
4019,8428
2915,8427
4333,8423
3013,8420
2199,8404
6712,8402
9390,8391
5252,8387
3374,8385
21663,8385
3068,8382
1287,8381
3329,8381
2341,8372
